"","#","Team","GP","W","L","T","GF","GA","GD","ShtF","AvShtF","ShtA","AvShtA","TSR","PDO","Poss","Pts","PPG","Playoffs","Shield"
"1",1,"New York Red Bulls",34,22,7,5,62,33,29,456,13.4,377,11.1,0.547,1085,0.49,71,2.09,1,1
"2",2,"Atlanta United FC",34,21,7,6,70,44,26,514,15.1,378,11.1,0.576,1002,0.54,69,2.03,1,0
"3",3,"New York City FC",34,16,10,8,59,45,14,534,15.7,424,12.5,0.557,1030,0.593,56,1.65,1,0
"4",4,"D.C. United",34,14,11,9,60,50,10,397,11.7,548,16.1,0.42,1101,0.475,51,1.5,1,0
"5",5,"Columbus Crew SC",34,14,11,9,43,45,-2,500,14.7,370,10.9,0.575,913,0.526,51,1.5,1,0
"6",6,"Philadelphia Union",34,15,14,5,49,50,-1,473,13.9,429,12.6,0.524,1017,0.501,50,1.47,1,0
"7",7,"Montreal Impact",34,14,16,4,47,53,-6,426,12.5,440,12.9,0.492,1056,0.476,46,1.35,0,0
"8",8,"New England Revolution",34,10,13,11,49,55,-6,485,14.3,438,12.9,0.525,965,0.483,41,1.21,0,0
"9",9,"Toronto FC",34,10,18,6,59,64,-5,485,14.3,464,13.6,0.511,967,0.539,36,1.06,0,0
"10",10,"Chicago Fire",34,8,18,8,48,61,-13,344,10.1,505,14.9,0.405,1024,0.475,32,0.94,0,0
"11",11,"Orlando City SC",34,8,22,4,43,74,-31,442,13,484,14.2,0.477,888,0.496,28,0.82,0,0
"12",1,"Sporting Kansas City",34,18,8,8,65,40,25,588,17.3,406,11.9,0.592,1050,0.568,62,1.82,1,0
"13",2,"Seattle Sounders FC",34,18,11,5,52,37,15,431,12.7,455,13.4,0.486,1133,0.503,59,1.74,1,0
"14",3,"Los Angeles Football Club",34,16,9,9,68,52,16,527,15.5,431,12.7,0.55,1019,0.53,57,1.68,1,0
"15",4,"FC Dallas",34,16,9,9,52,44,8,483,14.2,441,13,0.523,978,0.488,57,1.68,1,0
"16",5,"Portland Timbers",34,15,10,9,54,48,6,470,13.8,451,13.3,0.51,1006,0.466,54,1.59,1,0
"17",6,"Real Salt Lake",34,14,13,7,55,58,-3,467,13.7,447,13.1,0.511,942,0.548,49,1.44,1,0
"18",7,"LA Galaxy",34,13,12,9,66,64,2,427,12.6,521,15.3,0.45,1083,0.488,48,1.41,0,0
"19",8,"Vancouver Whitecaps FC",34,13,13,8,54,67,-13,419,12.3,517,15.2,0.448,955,0.438,47,1.38,0,0
"20",9,"Houston Dynamo",34,10,16,8,58,58,0,476,14,416,12.2,0.534,961,0.483,38,1.12,0,0
"21",10,"Minnesota United FC",34,11,20,3,49,71,-22,377,11.1,553,16.3,0.405,1002,0.457,36,1.06,0,0
"22",11,"Colorado Rapids",34,8,19,7,36,63,-27,381,11.2,527,15.5,0.42,966,0.455,31,0.91,0,0
"23",12,"San Jose Earthquakes",34,4,21,9,49,71,-22,438,12.9,518,15.2,0.458,925,0.476,21,0.62,0,0
